,State,County,PCT_LACCESS_LOWI15
2630,TX,Hidalgo,21.25028197536001
2677,TX,McLennan,20.17362248115855
104,AZ,Mohave,20.012129709846942
1802,NM,Doña Ana,19.48999158315543
507,GA,Richmond,17.941397365063953
417,GA,Clayton,17.67608628870224
50,AL,Montgomery,14.572141064235861
2553,TX,Cameron,14.164700999938162
1121,LA,Caddo,14.140473276135532
1923,NC,Forsyth,13.933556102685973
2460,TN,Hamilton,13.816605204771045
2357,SC,Spartanburg,13.727565631890561
383,FL,Volusia,13.267241129239435
375,FL,St. Lucie,12.966776105164818
2338,SC,Greenville,12.889436438303928
1915,NC,Cumberland,12.830459207408987
372,FL,Polk,12.81345277475528
2536,TX,Bell,12.771133791244413
2762,TX,Webb,12.712747850387169
109,AZ,Yavapai,12.60656642507674
1425,MS,Hinds,12.478546643573639
324,FL,Brevard,12.312836384951966
36,AL,Jefferson,12.27159061439927
654,IL,Madison,12.066069755493016
335,FL,Escambia,11.990250680317084
676,IL,St. Clair,11.976766834097633
2474,TN,Knox,11.375622810437156
2506,TN,Shelby,11.309213086582783
1925,NC,Gaston,11.270559549472258
1263,MI,Ingham,11.262907337794442
1255,MI,Genesee,10.977488495315649
2092,OH,Mahoning,10.820545500044007
353,FL,Lake,10.792369230275641
1129,LA,East Baton Rouge,10.727740122076057
2537,TX,Bexar,10.666262098426731
974,KS,Sedgwick,10.581704875318954
2355,SC,Richland,10.519688855322103
2700,TX,Nueces,10.494743032465353
170,AR,Pulaski,10.42735677140168
360,FL,Marion,10.420021396556878
48,AL,Mobile,10.265925301371794
419,GA,Cobb,10.227193648140211
741,IN,Lake,10.211115360752673
368,FL,Osceola,10.177950029209297
767,IN,St. Joseph,9.872950430989244
698,IN,Allen,9.841942486034661
1217,MA,Barnstable,9.71772614256925
354,FL,Lee,9.6593305627631
2593,TX,El Paso,9.574207271500512
2099,OH,Montgomery,9.569088843030796
461,GA,Henry,9.524845572355508
330,FL,Collier,9.476426211169445
1300,MI,Ottawa,9.308406645618364
2202,OK,Tulsa,9.291029056840038
1269,MI,Kalamazoo,9.281965173583014
430,GA,DeKalb,9.199220920874845
1788,NJ,Ocean,9.01263301663094
1148,LA,Orleans,8.85243907408677
745,IN,Marion,8.785200798107756
1781,NJ,Gloucester,8.7485023325154
2268,PA,Erie,8.667992142665327
453,GA,Gwinnett,8.667418520263187
2073,OH,Hamilton,8.641409829681956
334,FL,Duval,8.6308739183846
1382,MN,St. Louis,8.622287964006823
1774,NJ,Atlantic,8.453772752030531
355,FL,Leon,8.384124463886826
265,CO,El Paso,8.37689606285442
1532,MO,Jefferson,8.355085411306709
1930,NC,Guilford,8.332821684742612
2980,WA,Pierce,8.323250925434374
2939,VA,Norfolk,8.27966011689246
370,FL,Pasco,8.259275805754525
2674,TX,Lubbock,8.15447312412368
