,CensusTract,State,County,pop_with_low_access,percent_with_low_access
18292,12133970302,Florida,Washington,3880.64512447449,0.586643253888813
14138,12003040201,Florida,Baker,2069.53757551415,0.275241066034599
16691,12093910102,Florida,Okeechobee,1756.28556241666,0.622575527265744
18232,12127090102,Florida,Volusia,1723.07333179453,0.496133985544064
15141,12043000200,Florida,Glades,1706.0671785277,0.248335833846827
18148,12121970302,Florida,Suwannee,1697.04129057957,0.274424529524511
15557,12059960200,Florida,Holmes,1610.16747054969,0.290434247934649
15606,12069030102,Florida,Lake,1594.71385439686,0.454075698860154
15982,12081002010,Florida,Manatee,1542.93754368538,0.383910809575862
16949,12097043800,Florida,Osceola,1462.85267582305,0.203343435616215
15991,12083000200,Florida,Marion,1424.1361887374,0.196975959714717
15908,12079110200,Florida,Madison,1377.79153953291,0.382826212707117
14823,12021011102,Florida,Collier,1301.1642136858,0.178461694374682
18155,12123950400,Florida,Taylor,1148.68679485689,0.145827954152202
15161,12051000600,Florida,Hendry,1098.82759605107,0.196993115104172
16690,12093910101,Florida,Okeechobee,1078.456262436,0.186907497822531
15603,12065250200,Florida,Jefferson,948.815867599579,0.21662462730584
18281,12131950400,Florida,Walton,923.86488388872,0.313706242407036
15902,12075970500,Florida,Levy,904.732146884565,0.114465099555233
15149,12047960300,Florida,Hamilton,881.439116324633,0.500817679729906
15895,12073002702,Florida,Leon,868.843303565451,0.177134210716708
14843,12023110901,Florida,Columbia,859.032661196928,0.153508338312532
18291,12133970301,Florida,Washington,807.312067918429,0.353773912321836
14845,12023110904,Florida,Columbia,719.655912198468,0.12348248321868
14140,12005000201,Florida,Bay,685.226624414137,0.161686320059966
18150,12121970500,Florida,Suwannee,676.885625591861,0.074252481964882
14663,12013010200,Florida,Calhoun,648.707475374259,0.162339208051617
15221,12055961000,Florida,Highlands,628.368220195505,0.141779833076603
17921,12113010100,Florida,Santa Rosa,611.224515544659,0.156563656645661
15148,12047960200,Florida,Hamilton,581.753883909234,0.120321382401083
18231,12127090101,Florida,Volusia,564.317442118594,0.118603918057712
15154,12049970300,Florida,Hardee,552.638344041861,0.067650672547663
17810,12105015702,Florida,Polk,548.606482196769,0.130994862033613
14857,12029970200,Florida,Dixie,536.116930304937,0.130728341942194
15905,12077950100,Florida,Liberty,517.692207477418,0.245701095148276
15901,12075970400,Florida,Levy,499.390070112627,0.151836445762429
17730,12105012306,Florida,Polk,479.021100801396,0.190465646441907
18290,12133970200,Florida,Washington,473.386148890645,0.130625317022805
15134,12039020800,Florida,Gadsden,452.2118274672,0.094823197204278
15600,12063211100,Florida,Jackson,450.965925521972,0.104269578155369
15228,12055961601,Florida,Highlands,448.518690659667,0.34030249670688
16616,12087971002,Florida,Monroe,446.527030932425,0.292996739456972
18158,12125960300,Florida,Union,427.271273145721,0.09505478824154
15151,12049970102,Florida,Hardee,421.535935396236,0.110147879643647
15610,12069030107,Florida,Lake,417.662686683353,0.071419748064869
17813,12105015900,Florida,Polk,416.475323241887,0.168204896301247
17812,12105015802,Florida,Polk,383.368394588382,0.098400511958004
18153,12123950200,Florida,Taylor,355.092907701356,0.068025461245471
17808,12105015600,Florida,Polk,353.18216156055,0.126770337961432
17783,12105014203,Florida,Polk,339.509403858399,0.133507433683995
15911,12079110400,Florida,Madison,337.155547441134,0.090657581995465
18276,12131950101,Florida,Walton,318.466661768059,0.051208660840659
15977,12081001914,Florida,Manatee,317.538366168869,0.109533758595678
15990,12083000100,Florida,Marion,309.658513153321,0.05718532098861
18282,12131950501,Florida,Walton,305.54477805419,0.08217987575422
16624,12087971600,Florida,Monroe,302.535102702349,0.155305494200385
15155,12049970400,Florida,Hardee,293.825212324015,0.045065216614113
15099,12033003800,Florida,Escambia,293.179470873206,0.067150588839489
14844,12023110903,Florida,Columbia,290.783589658338,0.071533478390735
18293,12133970303,Florida,Washington,285.525563668597,0.068619457742994
16506,12086011500,Florida,Miami-Dade,281.235151081738,0.042753899525956
14847,12027010102,Florida,DeSoto,276.444826988722,0.058968606439574
14836,12023110300,Florida,Columbia,275.837129358935,0.032620284928919
15140,12043000100,Florida,Glades,273.130175682939,0.120534058112506
15146,12045960300,Florida,Gulf,271.060300695103,0.060912427122495
14145,12005000600,Florida,Bay,261.571719461906,0.243322529732006
15604,12067960100,Florida,Lafayette,247.287735870694,0.078156680110839
16649,12091020100,Florida,Okaloosa,246.119305604482,0.032013437253445
15100,12033003900,Florida,Escambia,240.625932681474,0.047479465801396
14665,12015010100,Florida,Charlotte,237.477941267225,0.061891566658125
17822,12107950202,Florida,Putnam,234.795070990512,0.065238974990418
18146,12121970200,Florida,Suwannee,217.257434254221,0.049795423849237
15906,12077950200,Florida,Liberty,205.355564388125,0.032814887246425
17863,12109021102,Florida,St. Johns,195.469543697872,0.043264617905682
18277,12131950102,Florida,Walton,188.429840463821,0.061881721006181
18230,12127083209,Florida,Volusia,158.489888047371,0.032278999602316
17862,12109021101,Florida,St. Johns,146.312080195772,0.026787272097359
15158,12051000300,Florida,Hendry,142.508367494663,0.018260938940885
15145,12045960200,Florida,Gulf,132.884073765191,0.043200284058905
15907,12079110100,Florida,Madison,123.3865437851,0.038141126363246
16695,12093910401,Florida,Okeechobee,120.299587833113,0.036421310273422
17924,12113010400,Florida,Santa Rosa,116.795974109984,0.04434167582004
16650,12091020200,Florida,Okaloosa,115.472901196262,0.060110828316639
17922,12113010200,Florida,Santa Rosa,115.170450527679,0.026902698091025
15602,12065250102,Florida,Jefferson,112.769095557356,0.025082094207597
14121,12001002101,Florida,Alachua,106.251720376545,0.057808335351766
15597,12063210800,Florida,Jackson,103.389691411453,0.019423199588851
14854,12027010406,Florida,DeSoto,95.189857907455,0.022909713094454
15558,12059960300,Florida,Holmes,93.0927238065208,0.02925604142254
17820,12107950100,Florida,Putnam,92.6568359449447,0.022187939641989
14753,12019031105,Florida,Clay,90.0391012722393,0.041723401887043
15144,12045960100,Florida,Gulf,86.2595587772993,0.010346594551673
16049,12083002701,Florida,Marion,78.8081133542582,0.013183023311184
16652,12091020302,Florida,Okaloosa,76.6984097110107,0.013052826703712
14835,12023110202,Florida,Columbia,66.8401718204841,0.011468800930076
17729,12105012305,Florida,Polk,65.624131033197,0.039295886846226
18272,12129010100,Florida,Wakulla,64.192669410429,0.012166919903417
14842,12023110800,Florida,Columbia,63.0616158942284,0.010818599398564
15650,12069031202,Florida,Lake,62.6214014316515,0.010282660333605
15899,12075970301,Florida,Levy,61.810133119201,0.044087113494437
