,CensusTract,State,County,pop_with_low_access,percent_with_low_access
16917,12097041100,Florida,Osceola,10249.2929430586,0.609098053310672
18028,12115002712,Florida,Sarasota,9863.64130110245,0.298527323661586
17743,12105012503,Florida,Polk,7341.3990482067,0.470180546189747
16503,12086011401,Florida,Miami-Dade,5246.28445310572,0.340955641327467
14815,12021010802,Florida,Collier,5046.76652735384,0.494393272663974
17774,12105014103,Florida,Polk,5036.02867183123,0.603767974083591
16916,12097041002,Florida,Osceola,4297.01055542685,0.512280705224947
16839,12095016713,Florida,Orange,4258.87643423117,0.560599767570248
17796,12105014902,Florida,Polk,4012.02051256131,0.552011628035404
17905,12111382002,Florida,St. Lucie,3857.1144645766,0.516762388072964
14106,12001001604,Florida,Alachua,3831.15840694683,0.501198117078341
16918,12097041300,Florida,Osceola,3794.48465970433,0.291681502014324
17913,12111382108,Florida,St. Lucie,3747.25989701207,0.185342758779903
16009,12083001004,Florida,Marion,3721.82294689578,0.304169904126821
17912,12111382106,Florida,St. Lucie,3689.33835778204,0.169352231250037
16891,12095017802,Florida,Orange,3568.35701118797,0.250375877854896
14937,12031013721,Florida,Duval,3567.6792079714,0.399292580634741
15706,12071010201,Florida,Lee,3518.45066491618,0.388050145022189
14292,12009071337,Florida,Brevard,3504.66111850357,0.48567920156646
16475,12086010300,Florida,Miami-Dade,3424.894260813,0.423610916612617
16504,12086011403,Florida,Miami-Dade,3413.16436311624,0.514340621325534
16693,12093910202,Florida,Okeechobee,3350.55666608968,0.733484383995116
14910,12031011902,Florida,Duval,3215.36281402094,0.302821888681574
14664,12013010300,Florida,Calhoun,3209.73844716464,0.39162255333878
14727,12017451502,Florida,Citrus,3155.56474722636,0.48636941233452
16692,12093910201,Florida,Okeechobee,3127.10970783419,0.680102154813875
15563,12061050302,Florida,Indian River,3112.81541104614,0.581399964707909
16828,12095016507,Florida,Orange,3098.47916376776,0.248454748117053
15703,12071010103,Florida,Lee,3073.52195487566,0.360361350085082
16940,12097043204,Florida,Osceola,3071.58157849818,0.232960301744269
15213,12055960400,Florida,Highlands,3061.51789045276,0.428184320343044
16933,12097042702,Florida,Osceola,3027.54513965933,0.499924890960921
18279,12131950301,Florida,Walton,3009.40870275476,0.539127320450513
16766,12095014601,Florida,Orange,2967.54982339218,0.390621274633695
16005,12083000802,Florida,Marion,2937.0697496291,0.252347259182843
15107,12035060204,Florida,Flagler,2932.84992301642,0.370122403207524
15587,12061050903,Florida,Indian River,2923.88325361816,0.408934720785758
15719,12071010409,Florida,Lee,2919.22348357911,0.322851524394948
16644,12089050303,Florida,Nassau,2895.59434784759,0.235203829733376
14293,12009071338,Florida,Brevard,2877.87470361171,0.348200206123619
15152,12049970201,Florida,Hardee,2873.251249311,0.699087895209491
16041,12083002502,Florida,Marion,2829.62249645667,0.243555043592415
14634,12011110322,Florida,Broward,2798.70178958841,0.255542530093902
16831,12095016510,Florida,Orange,2784.15130376815,0.613249185852017
14895,12031010500,Florida,Duval,2775.08554119217,0.192220374121506
17916,12111382111,Florida,St. Lucie,2774.07483707717,0.194959226725503
15765,12071040124,Florida,Lee,2771.12756526702,0.516519583460768
17691,12105011704,Florida,Polk,2761.09479164157,0.557571646131174
14206,12009062109,Florida,Brevard,2752.82166189653,0.408673049568964
14708,12017450302,Florida,Citrus,2749.58350789162,0.318903213626957
14294,12009071339,Florida,Brevard,2737.28963599755,0.404924502366502
15669,12071000600,Florida,Lee,2715.59983435971,0.717842937975077
16934,12097042800,Florida,Osceola,2705.25032594802,0.282768927139963
16010,12083001005,Florida,Marion,2699.53605205049,0.449622926723934
14886,12031010102,Florida,Duval,2671.10136531693,0.265095411405016
14295,12009071340,Florida,Brevard,2666.24225704519,0.217368519243861
14744,12019030702,Florida,Clay,2647.425336228,0.194720898516329
14759,12019031400,Florida,Clay,2638.58860888937,0.49681578024654
14551,12011070317,Florida,Broward,2634.27257259744,0.179629906075516
15116,12035060213,Florida,Flagler,2625.40202329156,0.475357961848916
15863,12073002104,Florida,Leon,2608.75500245529,0.356874829337249
16643,12089050302,Florida,Nassau,2601.49676723323,0.380836885848812
15894,12073002701,Florida,Leon,2595.07506651852,0.521308771900065
18267,12127091026,Florida,Volusia,2590.26240866279,0.35856345634867
18229,12127083208,Florida,Volusia,2580.21708815949,0.21807108588231
14097,12001001400,Florida,Alachua,2544.22875293978,0.5549026723969
15659,12069031309,Florida,Lake,2531.35845900065,0.273394368614391
15057,12033002400,Florida,Escambia,2526.9029906731,0.431801604694652
16002,12083000701,Florida,Marion,2524.55443688228,0.490681134476635
14832,12021011302,Florida,Collier,2517.65382530762,0.425279362383044
15856,12073001902,Florida,Leon,2513.88603606945,0.618878886280023
18255,12127091013,Florida,Volusia,2506.21901908121,0.330374244540102
17938,12113010811,Florida,Santa Rosa,2501.45163106184,0.184079154541309
18188,12127082301,Florida,Volusia,2497.14955293084,0.413503817342415
15575,12061050606,Florida,Indian River,2495.76683796624,0.230726341681265
17886,12111380902,Florida,St. Lucie,2491.49783248442,0.497602922405518
15559,12059960400,Florida,Holmes,2475.10994216979,0.341347392383092
15047,12033001402,Florida,Escambia,2468.58493736389,0.400549235334074
15117,12035060214,Florida,Flagler,2466.88457142277,0.354182996614899
16682,12091023100,Florida,Okaloosa,2459.86074805003,0.332189162464556
14876,12031002501,Florida,Duval,2440.08178012538,0.658947280617172
15452,12057012403,Florida,Hillsborough,2436.78416793821,0.442488499716401
14675,12015020101,Florida,Charlotte,2433.64224696508,0.356629872064051
14247,12009065201,Florida,Brevard,2422.26733970176,0.444697510501517
17753,12105012900,Florida,Polk,2416.13479501851,0.467066459504835
17918,12111382113,Florida,St. Lucie,2410.82755245329,0.203892722636442
14898,12031010800,Florida,Duval,2408.95278959244,0.480158020648284
14679,12015020202,Florida,Charlotte,2407.73436066779,0.363321919521321
16642,12089050301,Florida,Nassau,2351.68941690163,0.316044808077091
15009,12031016601,Florida,Duval,2350.89966170199,0.360291135893026
15736,12071020300,Florida,Lee,2347.04115337645,0.445189900109343
18177,12127081200,Florida,Volusia,2340.55926933748,0.628506785536381
17270,12099007910,Florida,Palm Beach,2328.59462077467,0.291694177724499
15608,12069030105,Florida,Lake,2323.65827315758,0.263932107355473
18137,12119911200,Florida,Sumter,2320.8474976246,0.078203575079173
14287,12009071322,Florida,Brevard,2316.09653833549,0.248241858342497
17942,12113010815,Florida,Santa Rosa,2314.11816186882,0.310870252803443
17024,12099003101,Florida,Palm Beach,2310.16844334453,0.359279695698994
16838,12095016712,Florida,Orange,2303.64408227801,0.265396783672582
18157,12125960200,Florida,Union,2301.81389320137,0.314498414155127
14933,12031013503,Florida,Duval,2300.40087758889,0.272269011431991
14230,12009064302,Florida,Brevard,2284.70637542009,0.400123708479876
17787,12105014501,Florida,Polk,2278.96257999468,0.274739310427328
17355,12101031703,Florida,Pasco,2267.39789456092,0.457967661999783
