,CensusTract,State,County,pop_with_low_access,percent_with_low_access
1237,2050000100,Alaska,Bethel,6012.95567081782,0.634077366953266
1352,4001944300,Arizona,Apache,4458.60433384341,0.640788205496324
1349,4001944100,Arizona,Apache,4401.40268707553,0.74981306423774
42864,35031946000,New Mexico,McKinley,4211.90471280256,0.741924381328619
1347,4001942700,Arizona,Apache,4064.79421186904,0.722244884838139
18292,12133970302,Florida,Washington,3880.64512447449,0.586643253888813
1437,4007940400,Arizona,Gila,3694.18894369205,0.698598514313929
4515,6025012302,California,Imperial,3680.53040603377,0.773870985288851
1438,4009940500,Arizona,Graham,3635.7393115375,0.760614918731696
1319,2180000100,Alaska,Nome,3611.8822238219,0.630896458309504
1354,4001944902,Arizona,Apache,3593.83359554064,0.740538552553192
4514,6025012301,California,Imperial,3496.93351730401,0.620794162489618
42956,35045942900,New Mexico,San Juan,3491.37588045496,0.708333511960837
42854,35031943800,New Mexico,McKinley,3354.97314234796,0.536538164456736
64746,48225950700,Texas,Houston,3326.48143101671,0.65533519129565
42852,35031943600,New Mexico,McKinley,3234.26183358269,0.553243556890642
59947,46113940800,South Dakota,Shannon,3176.59717288979,0.669461996394055
2424,4017940015,Arizona,Navajo,3131.6057148782,0.749905583064705
1339,2270000100,Alaska,Wade Hampton,3120.82372285177,0.418397067013242
68403,51135000300,Virginia,Nottoway,3118.27585294567,0.441432029012695
37292,28135950300,Mississippi,Tallahatchie,3113.49407367786,0.570341467975429
2687,4019940800,Arizona,Pima,3072.48922290109,0.688590144083616
2285,4013723306,Arizona,Maricopa,3041.41673725002,0.578326057663058
37283,28133950100,Mississippi,Sunflower,2961.76538486926,0.396381876989998
29364,22125951701,Louisiana,West Feliciana,2929.10459402537,0.354098717846394
1353,4001944901,Arizona,Apache,2868.9523525423,0.713492253803109
38971,30085940002,Montana,Roosevelt,2774.7698232482,0.645595584748303
2381,4015950600,Arizona,Mohave,2764.68665506715,0.306200759227728
1417,4005942202,Arizona,Coconino,2761.65103284798,0.724272497468656
36772,28027950100,Mississippi,Coahoma,2681.37578689264,0.656556265154908
67066,49037942000,Utah,San Juan,2562.59565574421,0.660122528527619
1324,2188000100,Alaska,Northwest Arctic,2561.8496327507,0.592746328725289
70952,54027968600,West Virginia,Hampshire,2560.01975921802,0.468096500131289
29099,22079013500,Louisiana,Rapides,2530.0438894636,0.40526091453846
69611,53017950100,Washington,Douglas,2523.79133991811,0.388335334654272
43652,36019100400,New York,Clinton,2523.00971680185,0.341963908484935
20277,15001021202,Hawaii,Hawaii,2521.03988983861,0.298312612689459
1420,4005945100,Arizona,Coconino,2484.79035039057,0.675398301274959
48900,37083930800,North Carolina,Halifax,2468.43870665238,0.464691021583657
2419,4017940010,Arizona,Navajo,2451.01387905417,0.793722111092673
42853,35031943700,New Mexico,McKinley,2439.78914168652,0.63305374719422
36741,28011950400,Mississippi,Bolivar,2379.58667911198,0.505327389915477
20833,16063950100,Idaho,Lincoln,2363.89849794467,0.453897561049285
36972,28051950300,Mississippi,Holmes,2362.11975909884,0.812283273417761
2583,4019004313,Arizona,Pima,2348.61697265845,0.482857107865636
36738,28011950100,Mississippi,Bolivar,2340.53379724465,0.615120577462459
64757,48229950300,Texas,Hudspeth,2338.15761773046,0.672657542500134
42965,35047957600,New Mexico,San Miguel,2268.7754686223,0.352021019181118
42851,35031943500,New Mexico,McKinley,2247.04140989023,0.656453815334571
42959,35045943201,New Mexico,San Juan,2229.61343996883,0.39102305155539
42927,35043940900,New Mexico,Sandoval,2197.83803616392,0.823777374874034
11587,6113011500,California,Yolo,2179.11473453941,0.40922342432665
3206,5079960600,Arkansas,Lincoln,2178.29273868866,0.422887349774541
61538,48021950802,Texas,Bastrop,2152.96015186158,0.337084727080255
65308,48341950200,Texas,Moore,2146.83954932835,0.321816751510771
27904,21137920300,Kentucky,Lincoln,2138.44113503315,0.391943023283202
67781,51049930100,Virginia,Cumberland,2136.53008302464,0.327889822440861
54624,41035970200,Oregon,Klamath,2125.44591261781,0.450020307562526
2423,4017940014,Arizona,Navajo,2100.83452163826,0.763939826050276
53545,40041376100,Oklahoma,Delaware,2099.45924473282,0.418469054162412
2759,4021002200,Arizona,Pinal,2089.76524872061,0.398050523565832
37035,28069030100,Mississippi,Kemper,2076.37959964342,0.383449602888905
14138,12003040201,Florida,Baker,2069.53757551415,0.275241066034599
48988,37095920100,North Carolina,Hyde,2056.01595769351,0.353875379981672
2415,4015954800,Arizona,Mohave,2046.13165659602,0.29180428645123
59948,46113940900,South Dakota,Shannon,1970.03643221651,0.445508012712917
2764,4021941400,Arizona,Pinal,1941.89135372141,0.228538466955563
1419,4005945000,Arizona,Coconino,1937.98679444783,0.463633204413357
55063,41065970800,Oregon,Wasco,1913.27793415568,0.429756948372795
37294,28137950100,Mississippi,Tate,1912.90574667148,0.339408400757893
35473,27005940000,Minnesota,Becker,1911.41110729405,0.498672347324302
2972,5019953900,Arkansas,Clark,1889.09063400547,0.345228551536089
2802,4025001500,Arizona,Yavapai,1883.27939458889,0.287523571692961
1358,4001970200,Arizona,Apache,1852.32936450241,0.371208289479442
38809,30015010300,Montana,Chouteau,1851.93186748341,0.502150723287261
1416,4005942201,Arizona,Coconino,1844.60178210878,0.452885289002894
63188,48131950500,Texas,Duval,1835.11015988798,0.577441837598486
42737,35007950700,New Mexico,Colfax,1834.9178230083,0.322594553974736
1486,4013050603,Arizona,Maricopa,1834.14925552183,0.404353892310809
53183,39163953000,Ohio,Vinton,1825.93294835018,0.364312240293334
28274,22011960100,Louisiana,Beauregard,1810.94854957999,0.285638572488958
18631,13061960300,Georgia,Clay,1801.6255166993,0.566014928274993
20690,16015950200,Idaho,Boise,1799.93979926696,0.256109817767069
33144,26063951200,Michigan,Huron,1760.37764883627,0.43932559242233
46,1005950400,Alabama,Barbour,1759.78825139429,0.408967755378641
16691,12093910102,Florida,Okeechobee,1756.28556241666,0.622575527265744
3251,5091021000,Arkansas,Miller,1745.71754595356,0.216509679517992
42889,35039000400,New Mexico,Rio Arriba,1744.01321474644,0.365928076950575
71215,54077963800,West Virginia,Preston,1731.12811613128,0.255970444496716
18232,12127090102,Florida,Volusia,1723.07333179453,0.496133985544064
65164,48313000100,Texas,Madison,1711.86631823314,0.475386369961995
15141,12043000200,Florida,Glades,1706.0671785277,0.248335833846827
1356,4001945002,Arizona,Apache,1697.81945074077,0.433559614591618
42728,35006941500,New Mexico,Cibola,1697.53641556973,0.562284337717699
71880,55075960200,Wisconsin,Marinette,1697.19449405474,0.401038396515772
18148,12121970302,Florida,Suwannee,1697.04129057957,0.274424529524511
42711,35003976400,New Mexico,Catron,1693.91384190067,0.454741970980047
37520,29035960100,Missouri,Carter,1686.59617082692,0.452413135951427
3318,5117460100,Arkansas,Prairie,1677.98376639672,0.44591649386041
29076,22079010600,Louisiana,Rapides,1667.23065667832,0.337632777780138
29072,22079010100,Louisiana,Rapides,1657.85916661091,0.178918537298825
3420,5123960100,Arkansas,St. Francis,1656.87919946922,0.5283415814634
42726,35005001300,New Mexico,Chaves,1655.82746848623,0.548105749250657
42846,35029000400,New Mexico,Luna,1654.852962211,0.278782507111018
53630,40075964200,Oklahoma,Kiowa,1653.04612870243,0.450666883506661
1357,4001945100,Arizona,Apache,1650.03616133522,0.74292488128556
40117,32023960300,Nevada,Nye,1646.93644314435,0.66195194660143
62029,48039661900,Texas,Brazoria,1632.25995728436,0.133213087185535
53347,40015161800,Oklahoma,Caddo,1626.60664024701,0.505942967417424
2379,4015950402,Arizona,Mohave,1623.03820430595,0.410895747925559
42863,35031945700,New Mexico,McKinley,1622.29049021433,0.73841169331558
42857,35031944000,New Mexico,McKinley,1621.46030255468,0.741747622394643
58965,45029970700,South Carolina,Colleton,1620.27096595875,0.274901758730701
66441,48469001700,Texas,Victoria,1617.40795595498,0.376842487407965
1170,1131035100,Alabama,Wilcox,1611.28482985072,0.425253320097843
15557,12059960200,Florida,Holmes,1610.16747054969,0.290434247934649
2428,4017942300,Arizona,Navajo,1607.92268544805,0.639078968779035
26525,20081463100,Kansas,Haskell,1600.98909871866,0.376172250638784
15606,12069030102,Florida,Lake,1594.71385439686,0.454075698860154
66384,48457950400,Texas,Tyler,1588.99130971886,0.296508921388107
42966,35047957700,New Mexico,San Miguel,1586.09102071376,0.645539690970193
38181,29153470200,Missouri,Ozark,1585.82976023479,0.323374747193065
37265,28123020200,Mississippi,Scott,1581.86513403586,0.339164908669783
67067,49037942100,Utah,San Juan,1574.5065251451,0.719938968973528
3141,5061950100,Arkansas,Howard,1574.06382006273,0.383170355419361
1454,4012020502,Arizona,La Paz,1570.03381276077,0.357801689325609
12264,8041004602,Colorado,El Paso,1569.32846149559,0.36589612065647
12713,8101002804,Colorado,Pueblo,1568.93880643501,0.336609913416653
1242,2070000100,Alaska,Dillingham,1560.35391769624,0.632746925262064
11270,6103000300,California,Tehama,1555.4259563869,0.344501872953911
39061,31019969100,Nebraska,Buffalo,1552.716656775,0.324700262813677
59201,45049920300,South Carolina,Hampton,1551.8137858501,0.584487301638457
36949,28049010600,Mississippi,Hinds,1551.3173095654,0.316208175614636
15982,12081002010,Florida,Manatee,1542.93754368538,0.383910809575862
37161,28093950500,Mississippi,Marshall,1542.29572731294,0.220202131255417
2425,4017940100,Arizona,Navajo,1530.91942859441,0.373759626121683
1449,4011960300,Arizona,Greenlee,1525.14534069258,0.58931427383794
251,1047956900,Alabama,Dallas,1520.66686972718,0.542320566949781
9153,6071010300,California,San Bernardino,1517.81402216678,0.39464743166063
61478,48001951100,Texas,Anderson,1507.39462001819,0.343526577032405
71300,54103030500,West Virginia,Wetzel,1507.20240584652,0.35758064195647
65571,48385950100,Texas,Real,1494.9151710936,0.451772490508795
3306,5113950600,Arkansas,Polk,1492.29804054215,0.613609391670296
36974,28051950500,Mississippi,Holmes,1480.8584447989,0.26373258144237
2777,4025000204,Arizona,Yavapai,1479.72411234899,0.203342601669506
70849,53077940003,Washington,Yakima,1477.81942790051,0.401363234084878
2429,4017942400,Arizona,Navajo,1470.69098419434,0.622646479337147
16949,12097043800,Florida,Osceola,1462.85267582305,0.203343435616215
20208,13303950500,Georgia,Washington,1460.43393301344,0.265581729953345
39026,30111001502,Montana,Yellowstone,1453.4450612009,0.327352491261464
43651,36019100300,New York,Clinton,1452.43224467357,0.224175373464049
65159,48309004201,Texas,McLennan,1450.17665417932,0.384866415652686
60513,47069950600,Tennessee,Hardeman,1443.33408429523,0.518811676597856
38977,30089000200,Montana,Sanders,1442.39008441,0.240880107616902
70699,53065951100,Washington,Stevens,1437.9717814323,0.399880918084623
2946,5009790200,Arkansas,Boone,1432.90313263691,0.24086453734021
66849,49027974300,Utah,Millard,1432.37472619076,0.308767994436465
37293,28135950400,Mississippi,Tallahatchie,1428.2177726715,0.512640980858399
2816,4025002100,Arizona,Yavapai,1427.74647442018,0.607810333937923
65185,48321730700,Texas,Matagorda,1427.6469426439,0.318528992111537
15991,12083000200,Florida,Marion,1424.1361887374,0.196975959714717
59795,46031941100,South Dakota,Corson,1420.2760189281,0.615904604912447
42729,35006945800,New Mexico,Cibola,1419.65615955891,0.681544003628862
53406,40023967300,Oklahoma,Choctaw,1418.52570894435,0.431031816756109
54643,41037960100,Oregon,Lake,1415.57605065738,0.513634270920675
37641,29059480100,Missouri,Dallas,1414.63487163999,0.299457000770532
66395,48463950100,Texas,Uvalde,1414.13441509056,0.434183117927714
55045,41061970100,Oregon,Union,1408.70809266725,0.433849120008395
19113,13107970100,Georgia,Emanuel,1408.12879872045,0.258704537703557
42730,35006946100,New Mexico,Cibola,1403.01084150508,0.342783005498433
12246,8041003909,Colorado,El Paso,1402.76282936509,0.214653837699325
59915,46101959700,South Dakota,Moody,1401.23260250133,0.44161128348608
37065,28075010201,Mississippi,Lauderdale,1398.25782391418,0.229072382685809
26747,20125951300,Kansas,Montgomery,1388.31127800958,0.526473749719222
54063,40127097600,Oklahoma,Pushmataha,1380.23238887245,0.455071674537571
15908,12079110200,Florida,Madison,1377.79153953291,0.382826212707117
59776,46017940200,South Dakota,Buffalo,1373.6612808782,0.718442092509524
28240,22003950100,Louisiana,Allen,1373.56723649222,0.268537094133378
3286,5107480200,Arkansas,Phillips,1371.19894275289,0.232288487676248
52705,39131952600,Ohio,Pike,1370.84403194055,0.231639748553659
53564,40049681100,Oklahoma,Garvin,1368.92696233908,0.423816397009005
68623,51175200300,Virginia,Southampton,1362.01015933975,0.976351368702334
43036,35057963600,New Mexico,Torrance,1361.49484718458,0.198642376303558
59584,45079012000,South Carolina,Richland,1360.36117089298,0.2503885828995
63733,48199030100,Texas,Hardin,1356.64937158747,0.368454473543583
53335,40013795700,Oklahoma,Bryan,1354.53098242748,0.380059198211976
70178,53041971800,Washington,Lewis,1341.0474788475,0.321208976969463
12643,8085966202,Colorado,Montrose,1333.43424717858,0.301272988517529
36896,28047003501,Mississippi,Harrison,1332.38051922879,0.14097772925921
42957,35045943000,New Mexico,San Juan,1330.65516417266,0.275897815503353
53321,40005587900,Oklahoma,Atoka,1328.93012213455,0.272489260228533
11,1001021100,Alabama,Autauga,1324.15759366407,0.398842648694
37776,29091090400,Missouri,Howell,1314.47449827962,0.27108156285412
4654,6029005600,California,Kern,1312.76212114596,0.582672934374595
37274,28127950300,Mississippi,Simpson,1312.43722161588,0.212334124189594
29332,22115950800,Louisiana,Vernon,1309.45008077775,0.273029624849407
49562,37141920501,North Carolina,Pender,1306.37284963502,0.281971260443563
3199,5077470100,Arkansas,Lee,1304.28020514017,0.458446469293559
53670,40089098200,Oklahoma,McCurtain,1303.21519887267,0.483030095949842
14823,12021011102,Florida,Collier,1301.1642136858,0.178461694374682
28583,22049970100,Louisiana,Jackson,1299.62244074953,0.453145899842935
40060,32003007500,Nevada,Clark,1296.58533364459,0.20535086057089
70690,53065941000,Washington,Stevens,1293.97354911281,0.617943433196185
39321,31087962700,Nebraska,Hitchcock,1289.95216201145,0.4435874009668
46149,36077590400,New York,Otsego,1289.83034539146,0.236839945903684
10945,6093000200,California,Siskiyou,1283.69804020111,0.656623038466043
67243,49053270200,Utah,Washington,1282.91401130987,0.417343530029238
1370,4003000500,Arizona,Cochise,1282.70192646696,0.226986715000348
1346,4001942600,Arizona,Apache,1280.51520139133,0.811479848790453
43023,35053978100,New Mexico,Socorro,1278.35448779393,0.300577119161517
26798,20155001700,Kansas,Reno,1277.03927289731,0.508173208474857
2686,4019940700,Arizona,Pima,1275.92812444346,0.903631816178089
68686,51183870201,Virginia,Sussex,1270.6855481803,0.34529498591856
28279,22011960600,Louisiana,Beauregard,1270.35096766614,0.390037140824729
3290,5107480600,Arkansas,Phillips,1270.09820449216,0.691398042728451
43031,35055952300,New Mexico,Taos,1266.76614367538,0.433082442282182
20272,15001021010,Hawaii,Hawaii,1263.73835394005,0.160291521301377
26666,20093959100,Kansas,Kearny,1263.29335650518,0.317649825623632
69656,53027000600,Washington,Grays Harbor,1259.38714822621,0.343438000607094
24381,18055954701,Indiana,Greene,1258.34813662261,0.274329220977243
38267,29179380100,Missouri,Reynolds,1254.34877135605,0.410185994557246
38824,30027030100,Montana,Fergus,1250.85948730161,0.249622727459911
36768,28025950200,Mississippi,Clay,1250.48504373382,0.492899110655822
48308,37041930200,North Carolina,Chowan,1245.11167801583,0.177013317886811
64989,48283950300,Texas,La Salle,1244.45095424933,0.180721892862233
70961,54031970100,West Virginia,Hardy,1244.43158495724,0.258180826754614
27546,21093001700,Kentucky,Hardin,1240.88224792719,0.139723257282648
37652,29067950100,Missouri,Douglas,1235.37725510599,0.332001412283256
71624,55031030100,Wisconsin,Douglas,1235.17909185677,0.197723562006847
50277,38059020500,North Dakota,Morton,1234.44683466122,0.338854470123861
22653,17057953900,Illinois,Fulton,1233.13077061629,0.424193591543274
1348,4001944000,Arizona,Apache,1232.98664815516,0.204035520131585
54601,41031940000,Oregon,Jefferson,1231.01968124738,0.392920421719561
70751,53069950100,Washington,Wahkiakum,1225.61784034861,0.308099004612523
38950,30073977200,Montana,Pondera,1224.03004404947,0.513435421161693
38879,30041940300,Montana,Hill,1222.84806587064,0.561196909532193
53537,40039961000,Oklahoma,Custer,1217.91334031077,0.36290623966352
63686,48185180302,Texas,Grimes,1215.59224178709,0.330773399125739
26462,20049965100,Kansas,Elk,1213.38055550002,0.421020317661356
42709,35001940600,New Mexico,Bernalillo,1207.74654770007,0.128689030122544
35589,27033270100,Minnesota,Cottonwood,1207.22612641863,0.416715956651239
7280,6053011400,California,Monterey,1202.46187503125,0.318280009272433
1487,4013050604,Arizona,Maricopa,1201.50745923601,0.32237924852053
61515,48013960500,Texas,Atascosa,1200.18254630764,0.447161902499123
42964,35047957500,New Mexico,San Miguel,1199.96122506704,0.273028720151773
63442,48149970500,Texas,Fayette,1198.54676793,0.31155361786587
3140,5059020700,Arkansas,Hot Spring,1197.91475733331,0.204666796058999
64968,48277000102,Texas,Lamar,1195.79483381058,0.248090214483524
61389,47181950100,Tennessee,Wayne,1195.0193299434,0.262123125673043
28280,22011960700,Louisiana,Beauregard,1194.50145496494,0.13928421816289
28260,22007050200,Louisiana,Assumption,1193.93468495064,0.218349430312847
37197,28107950100,Mississippi,Panola,1191.84311580629,0.160064882595527
54539,41019100000,Oregon,Douglas,1190.17149573381,0.368588261298798
27508,21085950600,Kentucky,Grayson,1186.08645495516,0.293876723229723
66664,48491021300,Texas,Williamson,1183.95040443264,0.252065234071247
58737,45013000100,South Carolina,Beaufort,1182.29058919277,0.276947900958721
68131,51083930100,Virginia,Halifax,1177.830838512,0.396709612163018
23370,17137952300,Illinois,Morgan,1175.8264509267,0.351412567521429
1369,4003000400,Arizona,Cochise,1174.03197810892,0.532199446105588
36737,28009950200,Mississippi,Benton,1172.49478225205,0.439630589520832
3305,5113950500,Arkansas,Polk,1169.54030699952,0.56282016698726
61344,47167041000,Tennessee,Tipton,1166.99953659817,0.355034845329534
1063,1119011400,Alabama,Sumter,1166.85655157354,0.630733271120836
38772,30003940600,Montana,Big Horn,1166.23063885319,0.398984139190283
2378,4015950401,Arizona,Mohave,1163.98729255102,0.567521839371539
37234,28119950100,Mississippi,Quitman,1163.22275951051,0.510633344824632
59821,46057955200,South Dakota,Hamlin,1159.90837958832,0.368108022719241
10938,6089012601,California,Shasta,1158.80504688312,0.22306160671475
70691,53065950100,Washington,Stevens,1158.21669870372,0.158833886273139
59757,46007941200,South Dakota,Bennett,1157.16487185454,0.638611960184628
36248,27111961500,Minnesota,Otter Tail,1155.28712403927,0.356680186489434
66832,49017000400,Utah,Garfield,1155.2687570972,0.413334081251237
63429,48147950100,Texas,Fannin,1155.13238334289,0.405309608190488
42958,35045943100,New Mexico,San Juan,1153.63107649811,0.593737044003149
53550,40045952600,Oklahoma,Ellis,1153.02024319149,0.388091633521202
59870,46095940300,South Dakota,Mellette,1152.48110191693,0.56273491304538
57595,42099030602,Pennsylvania,Perry,1151.29220330662,0.378963858889608
43037,35057963700,New Mexico,Torrance,1150.23282893112,0.501409254111214
43022,35053940000,New Mexico,Socorro,1149.69536829323,0.735099340340944
36603,27153790300,Minnesota,Todd,1149.44924234577,0.36123483417529
18155,12123950400,Florida,Taylor,1148.68679485689,0.145827954152202
36858,28045030601,Mississippi,Hancock,1148.54678778032,0.160793334422558
37497,29029950800,Missouri,Camden,1146.24195560971,0.168144631892286
3276,5103950100,Arkansas,Ouachita,1142.32796337366,0.200901857786435
4725,6035040600,California,Lassen,1136.00557908043,0.300451092060417
71109,54051020800,West Virginia,Marshall,1133.36937355523,0.239057028803045
42953,35045942801,New Mexico,San Juan,1132.67029461559,0.396177088008254
