,CensusTract,State,County,pop_with_low_access,percent_with_low_access
64688,48215024112,Texas,Hidalgo,11182.9916495067,0.883123402788184
16917,12097041100,Florida,Osceola,10249.2929430586,0.609098053310672
18028,12115002712,Florida,Sarasota,9863.64130110245,0.298527323661586
30799,24033807200,Maryland,Prince George's,9466.32905739643,0.594096212965761
62226,48061014100,Texas,Cameron,8331.15237973708,0.698746320534856
64672,48215023515,Texas,Hidalgo,7660.82049488744,0.739532821207399
19359,13121010510,Georgia,Fulton,7553.64389412459,0.476841354341556
17743,12105012503,Florida,Polk,7341.3990482067,0.470180546189747
64602,48215020503,Texas,Hidalgo,7156.30117021844,0.620076351288315
62185,48061012505,Texas,Cameron,6786.92791555061,0.744262300202941
64643,48215022104,Texas,Hidalgo,6765.382558126,0.694669119840436
64668,48215023511,Texas,Hidalgo,6635.82546302708,0.729131465006821
64671,48215023514,Texas,Hidalgo,6570.13067063945,0.807637451830295
9102,6071009110,California,San Bernardino,6430.28970589499,0.412780183970663
4632,6029004604,California,Kern,6168.85627687927,0.3893251042524
64665,48215023507,Texas,Hidalgo,6120.23565234803,0.730251241182202
19555,13135050608,Georgia,Gwinnett,6005.52520078752,0.38941286478975
64641,48215022004,Texas,Hidalgo,5993.92211403299,0.674231958833858
62094,48041002012,Texas,Brazos,5989.80615655332,0.926354184434477
9107,6071009118,California,San Bernardino,5943.36565306215,0.259967004333048
9105,6071009116,California,San Bernardino,5736.19110765687,0.853981108777263
62178,48061012200,Texas,Cameron,5620.45159790428,0.518922684692483
7270,6053010900,California,Monterey,5616.11088869604,0.555555533553867
65186,48323950201,Texas,Maverick,5594.28846045073,0.789819068255081
61900,48029181820,Texas,Bexar,5501.63021927699,0.76390311292377
43899,36029009110,New York,Erie,5495.80261597223,0.957957576428837
64697,48215024402,Texas,Hidalgo,5442.4827718758,0.627882184111191
64690,48215024114,Texas,Hidalgo,5424.04402863654,0.615389610691689
19075,13097080301,Georgia,Douglas,5417.47563169167,0.459419575279145
26815,20161001002,Kansas,Riley,5397.35304195038,0.639118181403242
63405,48141010407,Texas,El Paso,5390.85126908496,0.850157903971765
65188,48323950205,Texas,Maverick,5285.87667361943,0.607292816362527
16503,12086011401,Florida,Miami-Dade,5246.28445310572,0.340955641327467
20271,15001021005,Hawaii,Hawaii,5228.06215276933,0.474760457025911
